Incident #,Time,Date Occurred,Description,Location,Disposition,Day Occurred,Month Occurred,Year Occurred
17-00828,1332,1/21/17,Theft,James Smith Hall,Pending,21,1,2017
17-00848,2331,1/21/17,Public Intoxication,Harter Hall,Administrative Sanction,21,1,2017
17-00869,1910,1/22/17,MV Collision,Hugh Morris Library,Pending,22,1,2017
17-0888,1640,1/23/17,Theft,Purnell Hall,Pending,23,1,2017
17-00988,1530,1/26/17,Possession of Marijuana,Cannon Hall,Civil Assessment,26,1,2017
17-00992,1739,1/26/17,Shoplifting,Barnes & Noble Bookstore,Pending,26,1,2017
17-01014,0837,1/27/17,Harassment,Amy Rextrew House,Arrest,27,1,2017
17-01035,2234,1/27/17,Disorderly Conduct,Harrington Commons,Administrative Sanction,27,1,2017
17-01059,1414,1/28/17,Fraud,Christiana Towers,Pending,28,1,2017
17-01090,2108,1/29/17,Graffiti,Caesar Rodney A,Pending,29,1,2017
17-01100,0115,1/30/17,Offensive Touching,Wolf Hall,Pending,30,1,2017
17-01138,2252,1/30/17,Fugitive,Lot #7,Exceptionally Clear,30,1,2017
17-01163,1639,1/31/17,Extortion,Marriot Hotel,Pending Active,31,1,2017
17-01164,1655,1/31/17,Traffic Violation/Fugitve,E Park Pl/S College Ave,Exceptionally Clear,31,1,2017
17-01196,1001,2/1/17,Harassment,Wolf Hall,Pending,1,2,2017
17-01201,1427,2/1/17,Harassment,DuPont Lab,Pending,1,2,2017
17-01202,1437,2/1/17,Harassment,Wolf Hall,Pending,1,2,2017
17-01203,1556,2/1/17,Harassment,Carpenter Sport Building,Pending,1,2,2017
17-01207,1717,2/1/17,Harassment,Cannon Hall,Pending,1,2,2017
17-01227,0109,2/2/17,Underage Consumption,Louis Redding Hall,Administrative Sanction,2,2,2017
17-01261,0054,2/2/17,MV Collision,Lot #7,Pending,2,2,2017
17-01265,0706,2/3/17,Trespass,Delaware Technology Park Retention Pond,Exceptionally Clear,3,2,2017
17-01277,1141,2/3/17,MV Collision,Trabant University Center,Pending,3,2,2017
17-01357,2235,2/4/17,Verbal Dispute,Trabant University Center,Service Clear,4,2,2017
17-01359,0153,2/5/17,Underage Consumption,Lane Hall,Administrative Sanction,5,2,2017
17-01377,1255,2/5/17,Possession of Marijuana,Sypherd Hall,Civil Assessment,5,2,2017
17-01409,0253,2/6/17,Underage Consumption,Harrington Hall B,Arrest,6,2,2017
17-01424,0948,2/6/17,Harassment,Cannon Hall,Pending,6,2,2017
17-01459,2136,2/6/17,Falsely Reporting an Incident,Allen Lab,Pending,6,2,2017
17-01473,0202,2/7/17,Underage Consumption,Louis Redding Hall,Arrest,7,2,2017
17-01501,2119,2/7/17,Graffiti,Louis Redding Hall,Pending,7,2,2017
17-01507,2340,2/7/17,Underage Consumption,Russell A,Administrative Sanction,7,2,2017
17-01508,0012,2/7/17,DUI,S College Ave/E Park Pl,Arrest,7,2,2017
17-01510,0125,2/8/17,Underage Consumption,Russell B,Administrative Sanction,8,2,2017
17-01522,1153,2/8/17,Disorderly Conduct,Laird Campus,Administrative Sanction,8,2,2017
17-01554,0032,2/9/17,Underage Consumption,Ray Street,Administrative Sanction,9,2,2017
17-01556,0050,2/9/17,Underage Consumption,George Read Hall,Administrative Sanction,9,2,2017
17-01557,0114,2/9/17,Underage Consumption,Kent Hall,Administrative Sanction,9,2,2017
17-01584,1511,2/8/17,Theft,Lot #50S,Exceptionally Clear,8,2,2017
17-01585,1538,2/9/17,Terroristic Threatening,Bloom Energy,Arrest,9,2,2017
17-01610,0126,2/10/17,Disorderly Conduct,Ed Fine Parking Lot,Arrest,10,2,2017
17-01613,0216,2/10/17,DUI,N Chapel St/E Cleveland Ave,Arrest,10,2,2017
17-01636,1253,2/8/17,Disorderly Conduct,Christiana Towers,Pending,8,2,2017
17-01677,0051,2/11/17,Underage Consumption,Louis Redding Hall,Administrative Sanction,11,2,2017
17-01679,0115,2/11/17,Underage Consumption,Harrington Hall E,Administrative Sanction,11,2,2017
17-01682,0208,2/11/17,Underage Consumption,Russell D,Administrative Sanction,11,2,2017
17-01742,0030,2/11/17,Theft,Caesar Rodney C,Pending,11,2,2017
17-01750,0234,2/12/17,Terroristic Threatening,Louis Redding Hall,Pending,12,2,2017
17-01751,0258,2/12/17,Assist Other Agency,Independence Hall East,Service Clear,12,2,2017
17-01770,1453,2/11/17,Offensive Touching,Ray Street Hall C,Exceptionally Clear,11,2,2017
17-01825,1412,2/13/17,Attempted Extortion,Townsend Hall,Pending,13,2,2017
17-01828,1538,2/13/17,Theft,Independence Hall,Pending,13,2,2017
17-01831,1727,2/9/17,Theft,Conover Apts,Pending,9,2,2017
17-01885,1835,1/22/17,Harassment,Christiana Towers,Pending,22,1,2017
17-01886,1855,2/13/17,MV Collision,Laird Campus,Pending,13,2,2017
17-01894,2334,2/14/17,Offensive Touching,Christiana Towers,Exceptionally Clear,14,2,2017
17-01897,0037,2/11/17,Sexual Harrasment,Caesar Rodney Residence Hall,Pending,11,2,2017
17-01900,0223,2/15/17,Underage Consumption,McKinley Lab,Arrest,15,2,2017
17-01913,1052,12/15/17,Theft,Graham Hall,Pending,15,12,2017
17-01914,1224,2/14/17,MV Collision,Lot #88,Service Clear,14,2,2017
17-01921,1257,2/14/17,MV Collision,Lot #54,Service Clear,14,2,2017
17-01947,2217,2/15/17,Possession of Marijuana,Ray Street Hall B,Arrest,15,2,2017
17-01948,0041,2/16/17,Possession of Marijuana,Russell C,Civil Assessment,16,2,2017
17-01980,1622,2/15/17,Harassment,Allison Hall,Pending,15,2,2017
17-01988,1819,2/16/17,Forgery,Louis Redding Hall,Pending,16,2,2017
17-02012,0158,2/17/17,Disorderly Conduct,S College Ave,Administrative Sanction,17,2,2017
17-02044,1515,2/17/17,MV Collision,Trabant University Center,Pending,17,2,2017
17-02085,0119,2/18/17,Underage Consumption,Trabant University Center,Administrative Sanction,18,2,2017
17-02122,1937,2/18/17,Underage Consumption,Bob Carpenter Center,Pending,18,2,2017
17-02129,2122,2/18/17,Alcohol Violation,Russell C,Arrest,18,2,2017
17-02130,2219,2/18/17,Alcohol Violation,Independence Hall,Civil Assessment,18,2,2017
17-02140,0142,2/19/17,Underage Consumption,George Read Hall,Administrative Sanction,19,2,2017
17-02155,0937,2/19/17,Public Intoxication,Laurel Hall,Administrative Sanction,19,2,2017
17-02192,2220,2/17/17,Public Intoxication,Lot #6,Pending,17,2,2017
17-02198,2354,2/19/17,Disorderly Conduct,N College Ave,Administrative Sanction,19,2,2017
17-02306,2341,2/21/17,Graffiti,Caesar Rodney Commons,Pending,21,2,2017
17-02333,1332,2/22/17,Disorderly Conduct,Allison Hall,Exceptionally Clear,22,2,2017
17-02340,1637,2/22/17,Underage Consumption,George Read Hall,Administrative Sanction,22,2,2017
17-02342,1632,2/22/17,Miscellaneous Investigation,Sharp Lab,Service Clear,22,2,2017
17-02346,1726,2/22/17,Underage Consumption,Gore Hall,Administrative Sanction,22,2,2017
17-02354,2219,2/22/17,Possession of Marijuana,James Smith Hall,Civil Assessment,22,2,2017
17-02363,2354,2/22/17,Possession of Marijuana,Ray Street Hall C,Civil Assessment,22,2,2017
17-02416,2351,2/23/17,Public Intoxication,Pearson Hall,Administrative Sanction,23,2,2017
17-02420,0120,2/24/17,Damaged Property,Smyth Hall,Pending,24,2,2017
17-02449,1723,2/20/17,Theft,Ray Street Hall A,Pending,20,2,2017
17-02461,2051,2/24/17,Underage Consumption,Christiana Towers,Administrative Sanction,24,2,2017
17-02466,2220,2/24/17,Underage Consumption,Thompson Hall,Administrative Sanction,24,2,2017
17-02469,2253,2/24/17,Underage Consumption,Harrington Hall C,Administrative Sanction,24,2,2017
17-02471,2314,2/24/17,Underage Consumption,Student Services Building,Administrative Sanction,24,2,2017
17-02485,0102,2/25/17,DUI,W Cleveland Ave/New London Rd,Arrest,25,2,2017
17-02490,0122,2/25/17,Damaged Property,Trabant University Center,Pending,25,2,2017
17-02499,0242,2/25/17,Underage Consumption,Ray Street Hall C,Administrative Sanction,25,2,2017
17-02530,1832,2/25/17,Underage Consumption,Gore Hall,Administrative Sanction,25,2,2017
17-02539,2038,2/25/17,MV Collision,Lot #88,Pending,25,2,2017
17-02550,2229,2/25/17,Underage Consumption,Christiana Commons,Administrative Sanction,25,2,2017
17-02551,2302,2/25/17,Public Intoxication,Trabant University Center,Arrest,25,2,2017
17-02552,2309,2/25/17,Damaged Property,Christiana Towers,Pending,25,2,2017
17-02554,2350,2/25/17,Underage Consumption,Christiana Towers,Administrative Sanction,25,2,2017
17-02555,0006,2/26/17,Underage Consumption,Trabant University Center,Administrative Sanction,26,2,2017
17-02561,0103,2/26/17,Resisting Arrest,W Main St,Arrest,26,2,2017
17-02566,0128,2/26/17,Underage Consumption,Caesar Rodney C,Administrative Sanction,26,2,2017
17-02567,0135,2/26/17,Underage Consumption,Lane Hall,Administrative Sanction,26,2,2017
17-02568,0135,2/26/17,Underage Consumption,Gilbert Hall,Administrative Sanction,26,2,2017
17-02615,2236,2/25/17,Theft,Independence Hall West,Pending,25,2,2017
17-02661,2210,2/27/17,Possession of Marijuana,Ray Street,Administrative Sanction,27,2,2017
17-02674,0907,2/27/17,Damaged Property,University Courtyard Apartments,Pending,27,2,2017
17-02686,1035,2/24/17,Theft,Christiana Commons,Pending,24,2,2017
17-02687,1103,2/28/17,Possession of Marijuana,Academy St/E Delaware Ave,Civil Assessment,28,2,2017
17-02700,1336,2/25/17,Reckless Burning,George Read Hall,Pending,25,2,2017
17-02704,1619,2/24/17,MV Collision,Lot #19,Pending,24,2,2017
17-02706,1703,2/24/17,Theft,Russell A,Pending,24,2,2017
17-02728,0111,3/1/17,DUI,E Cleveland Ave/N College Ave,Arrest,1,3,2017
17-02746,1221,2/26/17,Theft,Lot #19,Pending,26,2,2017
17-02752,1642,3/1/17,Fraud,Allison Hall,Pending,1,3,2017
17-02754,1659,3/1/17,Theft,Christiana Towers,Pending,1,3,2017
17-02761,1923,3/1/17,Possession of Marijuana,Ray Street Hall C,Civil Assessment,1,3,2017
17-02814,1718,3/2/17,MV Collision,Trabant University Center,Pending,2,3,2017
17-02862,1745,3/3/17,Possession of Marijuana,George Read Hall,Civil Assessment,3,3,2017
17-02880,2337,3/3/17,Underage Consumption,Christiana Towers,Administrative Sanction,3,3,2017
17-02883,0018,3/4/17,Underage Consumption,Christiana Towers,Administrative Sanction,4,3,2017
17-02884,0022,3/4/17,Possession of Marijuana,Ray Street Hall A,Administrative Sanction,4,3,2017
17-02888,0140,3/4/17,Underage Consumption,Louis Redding Hall,Administrative Sanction,4,3,2017
17-02890,0155,3/4/17,Underage Consumption,Kent Hall,Administrative Sanction,4,3,2017
17-02934,2017,3/4/17,Theft,Purnell Hall,Pending,4,3,2017
17-02935,2033,3/4/17,Possession of Marijuana,Lane Hall,Administrative Sanction,4,3,2017
17-02989,2055,3/5/17,Possession of Marijuana,Christiana Towers,Civil Assessment,5,3,2017
17-02998,0048,3/6/17,MV Collision,Bob Carpenter Center,Pending,6,3,2017
17-03072,1148,3/6/17,Harassment,Trabant University Center,Pending,6,3,2017
17-03077,1447,3/6/17,MV Collision,General Services Parking Lot,Service Clear,6,3,2017
17-03088,2014,3/7/17,Disorderly Conduct,CET,Administrative Sanction,7,3,2017
17-03153,1104,3/9/17,Fugitive,Center For Black Culture,Exceptionally  Clear,9,3,2017
17-03255,0013,3/11/17,Possession of Marijuana,W Delaware Ave/S Main St,Arrest,11,3,2017
17-03257,0036,3/11/17,Public Intoxication,Christiana Towers,Administrative Sanction,11,3,2017
17-03259,0052,3/11/17,Underage Consumption,Russell C,Arrest,11,3,2017
17-03264,0202,3/11/17,Underage Consumption,Gilbert Hall,Administrative Sanction,11,3,2017
17-03301,1956,3/11/17,Disorderly Conduct,S College Ave/W Delaware Ave,Arrest,11,3,2017
17-03316,0112,3/12/17,Underage Consumption,University Courtyard Apartments,Administrative Sanction,12,3,2017
17-03319,0309,3/12/17,Underage Consumption,S Main St/Amstel Ave,Administrative Sanction,12,3,2017
17-03324,0712,3/12/17,Underage Consumption,Louis Redding Hall,Administrative Sanction,12,3,2017
17-03394,2025,3/13/17,Possession of Marijuana,George Read Hall,Civil Assessment,13,3,2017
17-03449,2242,3/14/17,Possession of Marijuana,George Read Hall,Civil Assessment,14,3,2017
17-03453,0025,3/15/17,Terroristic Threatening,Christiana Towers,Arrest,15,3,2017
17-03468,1040,3/13/17,MV Collision,Bloom Energy,Service Clear,13,3,2017
17-03487,1528,3/10/17,Theft,Old College Hall,Pending,10,3,2017
17-03543,1401,3/16/17,Possession of Marijuana,Christiana Towers,Civil Assessment,16,3,2017
17-03572,0024,3/17/17,Possession of a Controlled Substance/ Drug Paraphernalia,Harrington Hall C,Civil Assessment,17,3,2017
17-03620,2125,3/17/17,Fugitive,Bob Carpenter Center,Service Clear,17,3,2017
17-03621,2129,3/17/17,Underage Possession,Trabant University Center,Arrest,17,3,2017
17-03637,2348,3/17/17,Disorderly Conduct,Hollingsworth Lot,Exceptionally Clear,17,3,2017
17-03642,0048,3/18/17,Underage Consumption,Hollingsworth Lot,Pending,18,3,2017
17-03644,0116,3/18/17,DUI,Hollingsworth Lot,Arrest,18,3,2017
17-03645,0131,3/18/17,Public Intoxication,Pearson Hall,Arrest,18,3,2017
17-03653,0304,3/18/17,Underage Consumption,Harrington Commons,Arrest,18,3,2017
17-03670,1348,3/18/17,Underage Consumption,Perkins Parking Garage,Administrative Sanction,18,3,2017
17-03673,1516,3/18/17,MV Collision,Bob Carpenter Center,Pending,18,3,2017
17-03677,1658,3/18/17,Open Container,Main St/S College Ave,Arrest,18,3,2017
17-03686,2021,3/18/17,Underage Consumption,Harrington Commons,Arrest,18,3,2017
17-03707,0034,3/19/17,Underage Consumption,Caesar Rodney B,Administrative Sanction,19,3,2017
17-03726,1007,3/19/17,Theft,Christiana Commons,Pending,19,3,2017
17-03746,0115,3/20/17,DUI,W Cleveland Ave/N Chapel St,Arrest,20,3,2017
17-03790,0908,3/21/17,MV Collision,Pencader Dining Hall,Pending,21,3,2017
17-03795,1225,3/21/17,Alcohol Violation,Harrington Hall B,Pending,21,3,2017
17-03806,1644,3/21/17,MV Collision,Lot #19,Pending,21,3,2017
17-03826,0549,3/22/17,Underage Consumption,Squire Residence Hall,Administrative Sanction,22,3,2017
17-03842,1224,3/21/17,MV Collision,Townsend Hall,Pending,21,3,2017
17-03868,2357,3/22/17,Underage Consumption,George Read Hall,Administrative Sanction,22,3,2017
17-03892,1205,3/23/17,Shoplifting,Trabant University Center,Pending,23,3,2017
17-03904,1639,3/23/17,Theft,Barnes & Noble Bookstore,Pending,23,3,2017
17-03909,1848,3/23/17,Offensive Touching,Allison Hall,Pending,23,3,2017
17-03930,0039,3/24/17,Underage Consumption,Ray Street Hall C,Administrative Sanction,24,3,2017
17-03932,0113,3/24/17,Possession of Marijuana,Coastal Engineering Lab,Administrative Sanction,24,3,2017
17-03958,1244,3/23/17,Theft,Louis Redding Hall,Pending,23,3,2017
17-03968,1901,3/24/17,Possession of a Controlled Substance/ Drug Paraphernalia,Gilbert Hall,Administrative Sanction,24,3,2017
17-03975,1932,3/24/17,Possession of Marijuana,Ray Street Hall C,Administrative Sanction,24,3,2017
17-03986,2328,3/24/17,Fugitive,Early Learning Center,Arrest,24,3,2017
17-04061,2030,3/11/17,Theft,Willard Hall,Pending,11,3,2017
17-04065,1330,3/27/17,Possession of Marijuana,S Main St/Amstel Ave,Civil Assessment,27,3,2017
17-04080,2046,3/26/17,Damaged Property,UDPD,Pending,26,3,2017
17-04198,2228,3/30/17,Trespass,New Rodney Dickinson Construction site,Exceptionally Clear,30,3,2017
17-04199,0201,3/31/17,DUI,S Chapel St/E Delaware Ave,Arrest,31,3,2017
17-04211,1321,3/31/17,Graffiti,Downtown Center,Pending,31,3,2017
17-04231,2301,3/31/17,Possession of Marijuana,E Delaware Ave,Arrest,31,3,2017
17-04234,2356,3/31/17,Traffic Violation/Fugitve,E Main St,Arrest,31,3,2017
17-04261,1644,4/1/17,MV Collision,Trabant University Center,Pending,1,4,2017
17-04262,1702,4/1/17,Traffic Violation/Fugitve,W Main St,Arrest,1,4,2017
17-04279,0009,4/2/17,Underage Consumption,George Read Hall,Arrest,2,4,2017
17-04280,0019,4/2/17,Public Intoxication,STAR Campus,Exceptionally Clear,2,4,2017
17-04305,1426,4/2/17,Damaged Property,Trabant University Center,Pending,2,4,2017
17-04314,1907,4/2/17,Theft,Russell B,Pending,2,4,2017
17-04338,0136,4/3/17,Possession of Marijuana,Library Ave/Rt 273,Civil Assessment,3,4,2017
17-04345,1005,3/25/17,Theft,Louis Redding Hall,Pending,25,3,2017
17-04349,1202,3/24/17,Theft,Louis Redding Hall,Pending,24,3,2017
17-04350,1203,4/1/17,Trespass,Innovation Way,Pending,1,4,2017
17-04356,1358,3/31/17,Theft,Russell A,Pending,31,3,2017
17-04357,1453,3/24/17,Theft,Russell B,Pending,24,3,2017
17-04410,1810,3/26/17,Theft,Sharp Lab,Pending,26,3,2017
17-04428,0146,4/5/17,Disorderly Conduct,W Delaware Ave/Orchard Rd,Arrest,5,4,2017
17-04431,0826,4/4/17,Damaged Property,Jastak Burgess,Pending,4,4,2017
17-04437,1117,3/24/17,Theft,Lane Hall,Pending,24,3,2017
17-04438,1055,4/4/17,Theft,Louis Redding Hall,Pending,4,4,2017
17-04442,1248,4/4/17,Theft,Louis Redding Hall,Pending,4,4,2017
17-04454,1919,4/5/17,Damaged Property,Lot #55,Pending,5,4,2017
17-04474,0902,4/5/17,Theft,Caesar Rodney Dining Hall,Pending,5,4,2017
17-04496,1620,4/5/17,Theft,CFA Parking Garage,Pending,5,4,2017
17-04506,1803,4/6/17,MV Collision,Lot #2,Pending,6,4,2017
17-04520,2253,4/6/17,DUI,E Delaware Ave,Arrest,6,4,2017
17-04530,0216,4/7/17,Underage Consumption,Russell D,Administrative Sanction,7,4,2017
17-04540,0958,4/7/17,Offensive Touching,Russell E,Exceptionally Clear,7,4,2017
17-04559,1635,4/7/17,Theft,Spencer Lab,Pending,7,4,2017
17-04550,1423,4/7/17,Underage Possession,Russell C,Administrative Sanction,7,4,2017
17-04565,2038,4/7/17,Underage Consumption,Lane Hall,Arrest,7,4,2017
17-04574,2334,4/7/17,Underage Consumption,Christiana Towers,Administrative Sanction,7,4,2017
17-04577,0010,4/8/17,Receiving Stolen Property,Russell B,Pending,8,4,2017
17-04580,0116,4/8/17,DUI,Bartksdale Rd/Apple Rd,Arrest,8,4,2017
17-04586,0329,4/8/17,Underage Consumption,Russell A,Administrative Sanction,8,4,2017
17-04689,0031,4/10/17,Lewdness,Christiana Commons,Pending,10,4,2017
17-04734,0049,4/11/17,Possession of Marijuana,Academy St/ Delaware Ave,Civil Assesment,11,4,2017
17-04748,1110,4/7/17,Theft,Jastak Burgess,Pending,7,4,2017
17-04751,1220,4/11/17,Theft,Smith Hall,Pending,11,4,2017
17-04755,1207,4/11/17,Theft,George Read Hall,Pending,11,4,2017
17-04764,1830,4/11/17,Theft,Louis Redding Hall,Pending,11,4,2017
17-04780,2249,4/11/17,Possession of Marijuana,Thompson Hall,Civil Assessment,11,4,2017
17-04790,0050,4/12/17,Possession of Marijuana,S Main St/Delaware Ave,Civil Assessment,12,4,2017
17-04901,1700,4/13/17,Harassment,Thomas McKean Hall,Exceptionally Clear,13,4,2017
17-04914,2006,4/5/17,Damaged Property,Gilbert Hall,Pending,5,4,2017
17-04922,2238,4/8/17,Receiving Stolen Property,Russell C,Pending,8,4,2017
17-04936,0128,4/14/17,DUI,E Delaware Ave/Haines St,Arrest,14,4,2017
17-04975,2026,4/14/17,Shoplifting,Harrington Commons,Pending,14,4,2017
17-04982,2135,4/14/17,Possession of Marijuana,Harrington Hall B,Administrative Sanction,14,4,2017
17-05012,0136,4/15/17,DUI,E Main St/S College Ave,Arrest,15,4,2017
17-05015,0214,4/15/17,Damaged Property,Trabant University Center,Pending,15,4,2017
17-05016,0214,4/15/17,Possession of Marijuana,Christiana Towers,Administrative Sanction,15,4,2017
17-05021,0334,4/15/17,Underage Consumption,Russell C,Administrative Sanction,15,4,2017
17-05086,0343,4/16/17,Damaged Property,George Read Hall,Pending,16,4,2017
17-05105,1848,4/16/17,Possession of a Controlled Substance/ Drug Paraphernalia,Louis Redding Hall,Arrest,16,4,2017
17-05119,0050,4/17/17,DUI,S Main St,Arrest,17,4,2017
17-05162,0803,4/17/17,MV Collision,Perkins Parking Garage,Pending,17,4,2017
17-05170,1229,4/18/17,MV Collision,Lot #20,Pending,18,4,2017
17-05168,1142,4/14/17,Harassment,Brown Lab,Exceptionally Clear,14,4,2017
17-05196,0318,4/18/17,Theft,Spencer Lab,Pending,18,4,2017
17-05206,1144,4/19/17,Fire Detail,Girl Scouts Building,Service Clear,19,4,2017
17-05240,0153,4/20/17,Possession of Marijuana,Christiana Pkwy/S College Ave,Arrest,20,4,2017
17-05281,2012,4/20/17,Alcohol Violation,Louis Redding Hall,Civil Assessment,20,4,2017
17-05295,0017,4/20/17,Reckless Burning,Russell A,Pending,20,4,2017
17-05297,0049,4/21/17,Possession of Marijuana,Christiana Towers,Civil Assessment,21,4,2017
17-05300,0144,4/21/17,DUI,S Main St/W Delaware Ave,Arrest,21,4,2017
17-05308,0525,4/21/17,Underage Consumption,Caesar Rodney A,Administrative Sanction,21,4,2017
17-05315,1622,4/17/17,Harassment,Independence Hall West,Arrest,17,4,2017
17-05317,1639,4/21/17,Trespass,Caesar Rodney A,Administrative Sanction,21,4,2017
17-05343,0039,4/22/17,Underage Consumption,Russell A,Arrest,22,4,2017
17-05346,0113,4/22/17,Underage Consumption,Harrington Commons,Administrative Sanction,22,4,2017
17-05348,0150,4/22/17,Disorderly Conduct,Newark Police Department,Administrative Sanction,22,4,2017
17-05374,1820,4/22/17,Damaged Property,Perkins Parking Garage,Arrest,22,4,2017
17-05383,2154,4/22/17,Possession of Marijuana,Cannon Hall,Civil Assessment,22,4,2017
17-05391,2327,4/22/17,DUI,S Main St/Delaware Ave,Arrest,22,4,2017
17-05394,2347,4/22/17,Offensive Touching,Ed Fine Parking Lot,Service Clear,22,4,2017
17-05399,0042,4/23/17,Underage Consumption,Spencer Lab,Administrative Sanction,23,4,2017
17-05428,1527,4/23/17,Trespass,Hugh Morris Library,Civil Assessment,23,4,2017
17-05434,1802,4/23/17,Trespass,George Read Hall,Arrest,23,4,2017
17-05448,2315,4/23/17,Damaged Property,Christiana Towers,Pending,23,4,2017
17-05464,1056,4/24/17,MV Collision,CFA Parking Garage,Pending,24,4,2017
17-05486,1853,4/24/17,Possession of Marijuana,Gilbert,Civil Assessment,24,4,2017
17-05507,1349,4/25/17,Disorderly Conduct,Laurel Hall,Administrative Sanction,25,4,2017
17-05512,1558,4/25/17,Theft,Hugh Morris Library,Pending,25,4,2017
17-05539,0059,4/26/17,Underage Consumption,Ray Street Hall B,Arrest,26,4,2017
17-05542,0152,4/26/17,Receiving Stolen Property,Pencader Dining Hall,Pending,26,4,2017
17-05554,0951,4/22/17,Sexual Harrasment,Russell C,Pending,22,4,2017
17-05556,0952,4/21/17,Theft,Thomas McKean Hall,Pending,21,4,2017
17-05564,1207,4/18/17,Theft,Russell C,Pending,18,4,2017
17-05591,0220,4/27/17,Damaged Property,George Read Hall,Pending,27,4,2017
17-05594,0303,4/27/17,Assist Other Agency,Caesar Rodney Dining Hall,Arrest,27,4,2017
17-05604,0840,4/27/17,Underage Consumption,Louis Redding Hall,Administrative Sanction,27,4,2017
17-05641,0026,4/28/17,Disorderly Conduct,W Main St,Administrative Sanction,28,4,2017
17-05644,0059,4/28/17,Underage Consumption,Pearson Hall,Administrative Sanction,28,4,2017
17-05656,0352,4/28/17,Possession of Marijuana,Allison Hall,Civil Assessment,28,4,2017
17-05680,1802,4/28/17,Possession of a Controlled Substance/ Drug Paraphernalia,Russell B,Administrative Sanction,28,4,2017
17-05694,2222,4/28/17,Possession of a Controlled Substance/ Drug Paraphernalia,Christiana Towers,Administrative Sanction,28,4,2017
17-05745,1755,4/29/17,Possession of Marijuana,Russell B,Civil Assessment,29,4,2017
17-05764,2304,4/29/17,Damaged Property,Lane Hall,Pending,29,4,2017
17-05790,0217,4/30/17,Underage Consumption,Russell Dining Hall,Adult Arrest / Administrative Sanctions,30,4,2017
17-05857,0903,4/25/17,Theft,Conover Apts,Pending,25,4,2017
17-05858,0926,5/1/17,Trespass,McKinley Lab,Exceptionally Clear,1,5,2017
17-05868,1209,5/1/17,MV Collision,Pearson Hall,Pending,1,5,2017
17-05881,1714,5/1/17,Trespass,Fred Rust Arena,Adult Arrest,1,5,2017
17-05884,1908,5/1/17,Trespass,McDowell Hall,Exceptionally Clear,1,5,2017
17-05885,1921,4/30/17,Rape,Louis Redding Hall,Pending,30,4,2017
17-05892,2139,5/1/17,MV Collision,Barnes & Noble Bookstore,Pending,1,5,2017
17-05937,1718,4/29/17,Damaged Property,Penny Hall,Pending,29,4,2017
17-05939,1733,5/1/17,Theft,Harrington Commons,Pending,1,5,2017
17-05940,1944,5/2/17,MV Collision,Trabant University Center,Pending,2,5,2017
17-05944,2032,5/2/17,Theft,Russell E,Pending,2,5,2017
17-05951,0226,5/2/17,Shoplifting,Harrington Commons,Pending,2,5,2017
17-05970,0247,5/3/17,Damaged Property,Lane Hall,Pending,3,5,2017
17-05986,1233,5/3/17,Shoplifting,Trabant University Center,Arrest,3,5,2017
17-06027,0247,5/4/17,Underage Consumption,Caesar Rodney Residence Hall,Exceptionally Clear,4,5,2017
17-06043,1139,5/4/17,Loitering,Elliot Hall,Exceptionally Clear,4,5,2017
17-06053,1452,5/2/17,Theft,Thompson Hall,Pending,2,5,2017
