Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01100,0115,01/30/17 0115,Offensive Touching/Disorderly Conduct/Public Intoxication,Wolf Hall,Pending
17-01138,2252,01/30/17 2252,Fugitive,Lot 7,Exceptionally Clear
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01163,1639,01/31/17 1639,Extortion,Marriot Hotel,Pending Active
17-01164,1655,01/31/17 1655,Traffic Violation/Fugitve,E Park Pl/S College Ave,Exceptionally Clear
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01196,1001,2/1/17 1001,Harassment,Wolf  Hall,Pending
17-01201,1427,2/1/17 1427,Harassment,Dupont Hall,Pending
17-01202,1437,2/1/17 1430,Harassment,Wolf  Hall,Pending
17-01203,1556,2/1/17 1552,Harassment,Carpenter Sport Building,Pending
17-01207,1717,2/1/17 1710,Harassment,Cannon Lab,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01227,109,2/2/17 109,Underage Consumption,Redding Hall,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01261,0054,2/2/17 2100-2113,MV Collision,Lot 7,Pending
17-01265,0706,02/03/17 0706,Trespass,Delaware Technology Parking Lot,Exceptionally Clear
17-01277,1141,02/03/17 1141,MV Collision,Trabant Parking Garage,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01357,2235,02/04/17 2235,Verbal Dispute,Trabant Parking Garage,Service Clear
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01359,0153,02/05/17 0153,Underage Consumption,Lane Hall,Administrative Sanction
17-01377,1255,02/05/17 1255,Possession of Marijuana,Sypherd Hall,Civil Assessment
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01409,0253,02/06/17 0253,Underage Consumption/Trespass/Criminal Impersonation,Harrington B,Arrest
17-01424,0948,02/06/17 0851,Harassment,Cannon Lab,Pending
17-01459,2136,02/06/17 2117,Falsely Reporting an Incident,Allen Lab,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01473,0202,02/07/17 0202,Underage Consumption,Redding Hall,Arrest
17-01501,2119,02/07/17 2100-2119,Graffiti,Louis Redding Hall,Pending
17-01507,2340,02/07/17 2340,Underage Consumption,Russell Hall A,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01508,0012,02/07/17 0012,DUI,S College Ave/E Park Pl,Arrest
17-01510,0125,02/08/17 0125,Underage Consumption,Russell Hall B,Administrative Sanction
17-01522,1153,02/08/17 1153,Disorderly Conduct,Laird Pedestrian Bridge,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01554,0032,02/09/17 0032,Underage Consumption,Ray Street,Administrative Sanction
17-01556,0050,02/09/17 0050,Underage Consumption,George Read,Administrative Sanction
17-01557,0114,02/09/17 0114,Underage Consumption,Kent Hall,Administrative Sanction
17-01584,1511,02/08/17 2100-02/09/17 0430,Theft of MV/Recovered,Lot 50S,Exceptionally Clear
17-01585,1538,02/09/17 1538,Possesion of a Deadly Weapon/Menacing/Terroristic Threatening/Disorderly Conduct,Bloom Energy,Arrest
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01610,0126,02/10/17 0126,Disorderly Conduct,Ed Fine Lot,Arrest
17-01613,0216,02/10/17 0216,DUI,N Chapel St/E Cleveland Ave,Arrest
17-01636,1253,02/08/17 2200,Disorderly Conduct,Christiana West Tower,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01677,0051,02/11/17 0051,Underage Consumption,Redding Hall,Administrative Sanction
17-01679,0115,02/11/17 0115,Underage Consumption,Harrington E,Administrative Sanction
17-01682,0208,02/11/17 0208,Underage Consumption,Russell D,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01742,0030,02/11/17 2230- 02/11/17 2330,Theft,Caesar Rodney C,Pending
17-01750,0234,02/12/17 0234,Terroristic Threatening/Underage Consumption,Redding Hall,Pending
17-01751,0258,02/12/17 0258,Assist Other Agency (Drugs),Independence Hall East,Service Clear
17-01770,1453,02/11/17 2359,Domestic,Ray Street Hall C,Exceptionally Clear
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01825,1412,02/13/17 1412,Attempted Extortion,Townsend Hall,Pending
17-01828,1538,02/13/17 1330-1540,Theft,Independence Hall Gym,Pending
17-01831,1727,02/09/17 1800-02/13/17 0930,Theft,Conover West,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01885,1835,01/22/17 2237,Harassment,Christiana West Tower,Pending
17-01886,1855,02/13/17 0800-02/14/17 1800,MV Collision,Laird Conference Lot,Pending
17-01894,2334,02/14/17 2330,Offensive Touching,Christiana West Tower,Exceptionally Clear
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01897,0037,02/11/17 2300,Unlawful Sexual Contact,Caesar Rodney,Pending
17-01900,0223,02/15/17 0223,Underage Consumption,McKinley Lab,Arrest
17-01913,1052,12/15/16 1200-01/16/17 1200,Theft,Graham Hall,Pending
17-01914,1224,02/14/17  at 1430,MV Collision,Lot 88,Service Clear
17-01921,1257,02/14/17 1400-1530,MV  Collision,Lot 54,Service Clear
17-01947,2217,02/15/17 2217,Marijuana Possession,Ray St B,Arrest
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01948,0041,02/16/17 0041,Marijuana Possession,Russell C,Civil Assessment
17-01980,1622,02/15/17 1227-2212,Harassing Communications,Alison Hall West,Pending
17-01988,1819,02/16/17 0056,Forgery,Redding Hall,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-02012,0158,02/17/17 0158,Disorderly Conduct,S College Ave,Administrative Sanction
17-02044,1515,02/17/17 1300-1500,MV Collision,Trabant Garage,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-02085,0119,02/18/17 0119,Underage Consumption,Trabant University Center,Administrative Sanction
17-02122,1937,02/18/17 1937,Damaged Propery/Underage Consumption,Bob Carpenter Center,Pending
17-02129,2122,02/18/17 2122,Underage Possession of Alcohol,Russell C,Arrest
17-02130,2219,02/18/17 2219,Possession of Marijuana/Underage Possession of Alcohol,Independence Hall,Civil Assessment
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-02140,0142,02/19/17 0142,Underage Consumption,George Read,Administrative Sanction
17-02155,0937,02/19/17 0937,Public Intoxication,Laurel Hall,Administrative Sanction
17-02192,2220,02/17/17 2220,Public Intoxication/Disorderly Conduct,Lot 6,Pending
17-02198,2354,02/19/17 2354,Disorderly Conduct,N College Ave,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-02306,2341,2/21/2017 2341,Graffiti,Rodney Commons,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-02333,1332,02/22/17 1332,Disorderly Conduct,Alison Hall,Exceptionally Clear
17-02340,1637,02/22/17 1637,Underage Consumptionl,George Read,Administrative Sanction
17-02342,1632,02/22/17 1632,Miscellaneous,Sharp Hall,Service Clear
17-02346,1726,02/22/17 1726,Underage Consumption,Gore Hall,Administrative Sanction
17-02354,2219,02/22/17 2219,Possession of Marijuana,James Smith,Civil Assessment
17-02363,2354,02/22/17 2354,Possession of Marijuana,Ray Street C,Civil Assessment
Incident #,Time,Date/Time Occurred,Description,Location Name,Disposition
17-02416,2351,02/23/17 2351,Public Intoxication,Pearson Hall,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-02420,0120,02/24/17 0108,Damaged Property,Smyth Hall,Pending
17-02449,1723,02/20/17-02/21/17,Theft,Ray Street Hall A,Pending
17-02461,2051,20/24/17 2051,Underage Consumption,Christiana West Tower,Administrative Sanction
17-02466,2220,20/24/17 2220,Underage Consumption,Thompson Hall,Administrative Sanction
17-02469,2253,02/24/17 2253,Underage Consumption,Harrington Hall C,Administrative Sanction
17-02471,2314,20/24/17 2314,Underage Consumption,Student Health Services,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-02485,0102,02/25/17 0102,DUI,W Cleveland Ave/New London Rd,Arrest
17-02490,0122,02/25/17 0001-02/25/17 0011,Damaged Property,Trabant Parking Garage,Pending
17-02499,0242,02/25/17 0242,Underage Consumption,Ray Street Hall C,Administrative Sanction
17-02530,1832,02/25/17 1832,Underage Consumption,Gore Hall,Administrative Sanction
17-02539,2038,02/25/17 1800-02/25/17 2038,MV Collision,Lot 88,Pending
17-02550,2229,02/25/17 2229,Underage Consumption,Christiana Commons,Administrative Sanction
17-02551,2302,02/25/17 2302,Disorderly Conduct/Public Intoxication/ Conspiracy/ Resisting,Trabant University Center,Arrest
17-02552,2309,02/25/17 2309,Damaged Property,Christiana East Tower,Pending
17-02554,2350,02/25/17 2350,Underage Consumption,Christiana East Tower,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-02555,0006,02/26/17 0006,Underage Consumption,Trabant University Center,Administrative Sanction
17-02561,0103,02/26/17 0103,Assist Other Agency/Resisting,W Main St,Arrest
17-02566,0128,02/26/17 0128,Underage Consumption,Caesar Rodney Hall C,Administrative Sanction
17-02567,0135,02/26/17 0135,Underage Consumption,Lane Hall,Administrative Sanction
17-02568,0135,02/26/17 0135,Underage Consumption,Gilbert Hall,Administrative Sanction
17-02615,2236,2/25/17 1830-2/26/17 2236,Theft,Independence West,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-02661,2210,02/27/17 2210,Consumption of Marijuana/Possession of Drug Paraphernalia,Ray Street,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-02674,0907,02/27/17 1530-02/28/17 0845,Damaged Property,Courtyard Marriott,Pending
17-02686,1035,02/24/17 2315,Theft,Christiana Commons,Pending
17-02687,1103,02/28/17 1103,Possession of Marijuana/Drug Paraphernalia/Traffic Offenses,E Delaware Ave/Academy St,Civil Assessment
17-02700,1336,02/25/17,Reckless Burning,George Read North,Pending
17-02704,1619,02/24/17 0830-1730,MV Collision,Lot 19,Pending
17-02706,1703,02/24/17 1600-02/28/17 0750,Theft,Russell Hall A,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-02728,0111,03/01/17 0301,DUI/Traffic Violations,E Cleveland Ave/N College Ave,Arrest
17-02746,1221,2/26/17 1800-0200,Theft,Lot 19,Pending
17-02752,1642,3/1/17 1642,Fraud,Allison Hall,Pending
17-02754,1659,3/1/7 1245-1430,Theft,Christiana West Towers,Pending
17-02761,1923,3/1/17 1923,Possession of Marijuana,Ray Street C,Civil Assessment
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-02814,1718,3/2/17 1100-1700,MV Collison,Trabant Parking Garage,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-02862,1745,03/03/17 1745,Possession of Marijuana,George Read North,Civil Assessment
17-02880,2337,03/03/17 2337,Underage Consumption,Christiana West Tower,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-02883,0018,03/04/17 0018,Underage Consumption,Christiana West Tower,Administrative Sanction
17-02884,0022,03/04/17 0022,Possession of Marijuana,Ray Street A,Administrative Sanction
17-02888,0140,03/04/17 0140,Underage Consumption,Redding Hall,Administrative Sanction
17-02890,0155,03/04/17 0155,Underage Consumption,Kent Hall,Administrative Sanction
17-02934,2017,03/04/17 2017,Theft,Purnell Hall,Pending
17-02935,2033,03/04/17 2033,Consumption of Marijuana/Possession of Marijuana,Lane Hall,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-02989,2055,03/05/17 2055,Possession of Marijuana/Drug Paraphernalia,Christiana East Tower,Civil Assessment
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-02998,0048,03/06/17 0048,MV Collision,Bob Carpenter Center Parking Lot,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-03072,1148,03/06/17 1920,Harassment,Trabant University Center,Pending
17-03077,1447,03/06/17 0900,MV Collision,General Services Parking Lot,Service Clear
17-03088,2014,03/07/17 2000,Disorderly Conduct,CET,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-03153,1104,03/09/17 1104,Fugitve/Assist Other Agency,Center For Black Culture,Exceptionally  Clear
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-03255,0013,03/11/17 0013,Moving Traffic/Fugitive/Possession of Marijuana,W Delaware Ave/S Main St,Arrest
17-03257,0036,03/11/17 0036,Noise Complaint/Underage Consumption,Christiana East Tower,Administrative Sanction
17-03259,0052,03/11/17 0052,Underage Consumption,Russell C,Arrest
17-03264,0202,03/11/17 0202,Underage Consumption,Gilbert Hall,Administrative Sanction
17-03301,1956,03/11/17 1956,Assault/Damaged Property,S College Ave/W Delaware Ave,Arrest
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-03316,0112,03/12/17 0112,Underage Consumption,Marriott Courtyard,Administrative Sanction
17-03319,0309,03/12/17 0309,Underage Consumption,S Main St/Amstel Ave,Administrative Sanction
17-03324,0712,03/12/17 0712,Underage Consumption,Redding Hall,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-03394,2025,03/13/17 2025,Possession of Marijuana,George Read Hall,Civil Assessment
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-03449,2242,03/14/17 2242,Possession of Marijuana,George Read Hall,Civil Assessment
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-03453,0025,03/15/17 0025,Burglary/Unlawful Imprisonment/Terroristic Threatening/Assault/Harassment/Malicious Interference with Emergency Communications/Menacing/Disorderly Conduct,Christiana East Tower,Arrest
17-03468,1040,03/13/17 0900-1700,MV Collision,Bloom Energy,Service Clear
17-03487,1528,03/10/17 1900-03/13/17 0800,Theft,Old College Lot,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-03543,1401,03/16/17 1401,Possession of Marijuana,Christiana West Tower,Civil Assessment
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-03572,0024,03/17/17 0024,Possession of Drug Paraphernalia/Underage Possession,Harrington C,Civil Assessment
17-03620,2125,03/17/17 2125,Fugitive,Bob Carpenter Center,Service Clear
17-03621,2129,03/17/17 2129,Underage Possession,Trabant Garage,Arrest
17-03637,2348,03/17/17 2348,Disorderly Conduct,Hollingsworth Lot,Exceptionally Clear
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-03642,0048,03/18/17 0048,Underage Consumption,Hollingsworth Lot,Pending
17-03644,0116,03/18/17 0116,DUI,Hollingsworth Lot,Arrest
17-03645,0131,03/18/17 0131,Public Intoxication/Resisting Arrest,Pearson Lot,Arrest
17-03653,0304,03/18/17 0304,Underage Consumption,Harrington Beach,Arrest
17-03670,1348,03/18/17 1348,Underage Consumption,Perkins Garage,Administrative Sanction
17-03673,1516,03/18/17 1516,MV Collision,Bob Carpenter Center,Pending
17-03677,1658,03/18/17 1658,Open Container,Main St/S College Ave,Arrest
17-03686,2021,03/18/17 2021,Shoplifting/Impersonation/Trespass/Underage Consumption,Harrington POD,Arrest
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-03707,0034,03/19/17 0034,Underage Consumption,Ceaser Rodney B,Administrative Sanction
17-03726,1007,03/19/17 0357,Theft/Recovered Property,Christiana Commons,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-03746,0115,03/20/17 0115,DUI,W Cleveland Ave/N Chapel St,Arrest
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-03790,908,3/21/17 908,MV Collision,Pencader Dining,Pending
17-03795,1225,3/21/17 1225,Alcohol Violation,Harrington B,Pending
17-03806,1644,3/21/17 1644,MV Collision,Lot 19,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-03826,0549,3/22/17 0549,Underage Consumptionl,Squire Hall,Administrative Sanction
17-03842,1224,03/21/17 1845-2010,MV Collision,Townsend Hall,Pending
17-03868,2357,03/22/17 2357,Underage Consumption,George Read,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-03892,1205,03/23/17 1205,Shoplifting,Trabant University Center,Pending
17-03904,1639,03/23/17 1639,Theft,Barnes & Noble Bookstore,Pending
17-03909,1848,03/23/17 1848,Offensive Touching/Disorderly Conduct,Alison Hall,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-03930,0039,03/24/17 0039,Underage Consumption,Ray St C,Administrative Sanction
17-03932,0113,03/24/17 0113,Possession of Marijuana/Conspiracy,Coastal Engineering Lab,Administrative Sanction
17-03958,1244,3/23/17 2030-3/24/17 1200,Theft,Redding Hall,Pending
17-03968,1901,3/24/17 1901,Possession of Marijuana/Underage Possession,Gilbert Hall,Administrative Sanction
17-03975,1932,3/24/17 1932,Possession of Marijuana,Ray Street C,Administrative Sanction
17-03986,2328,3/24/17 2328,Fugitive,Early Learning Center,Arrest
Incident #,Date Reported,Time,Date/Time Occurred,Description,Location,Disposition
17-04036,03/26/17,0059,03/26/17 0059,Public Intoxication/Resisting Arrest,Willard Hall,Arrest
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-04061,2030,03/11/17 1100-03/18/17 0000,Theft,Willard Hall,Pending
17-04065,1330,03/27/17 1330,Possession of Marijuana,S Main St/Amstel Ave,Civil Assessment
17-04080,2046,03/26/17 0124-1011,Damaged Property,UDPD,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-04198,2228,3/30/17 2228,Trespass,New Rodney Dickinson Construction site,Exceptionally Clear
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-04199,0201,03/31/17 201,DUI,S Chapel St/E Delaware Ave,Arrest
17-04211,1321,03/31/17 1321,Graffiti,Downtown Center,Pending
17-04231,2301,03/31/17 2301,Traffic Violation/Possession of Marijuana,E Delaware Ave,Arrest
17-04234,2356,03/31/17 2356,Traffic Violation/Fugitive,E Main St,Arrest
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-04261,1644,04/01/17 1644,MV Collision,Trabant Garage,Pending
17-04262,1702,04/01/17 1702,Traffic Violation/CCDW,W Main St,Arrest
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-04279,0009,04/02/17 0009,Underage Consumption,George Read North,Arrest
17-04280,0019,04/02/17 0019,Public Intoxication,STAR Campus,Exceptionally Clear
17-04305,1426,04/02/17 1426,Damaged Property,Trabant Garage,Pending
17-04314,1907,04/02/17 1907,Theft,Russell B,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-04338,0136,04/03/17 0136,MV Violation/Possession of Marijuana,Library Ave/Rt 273,Civil Assessment
17-04345,1005,03/25/17 1600-04/01/17 1600,Theft,Redding Hall,Pending
17-04349,1202,03/24/17 1500-04/03/17 1000,Theft,Redding Hall,Pending
17-04350,1203,04/01/17 0001-04/03/17 1200,Trespass,Innovation Way,Pending
17-04356,1358,03/31/17 1000-04/03/17 1358,Theft,Russell A,Pending
17-04357,1453,03/24/17 1900-04/02/17 1600,Theft,Russell B,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-04410,1810,03/26/17 1159-03/30/17 1700,Theft,Sharp Lab,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-04428,0146,04/05/17 0146,Disorderly Conduct/Non-Moving Traffic Violation,W Delaware Ave/Orchard Rd,Arrest
17-04431,0826,04/04/17  1700-04/05/17 0530,Damaged Property,Jastak Burgess,Pending
17-04437,1117,03/24/17 1200-04/04/17 1200,Theft,Lane Hall,Pending
17-04438,1055,04/04/171830-04/05/17 1015,Theft,Redding Hall,Pending
17-04442,1248,04/04/17 1600-04/05/17 1030,Theft,Redding Hall,Pending
17-04454,1919,04/05/17 1919,Damaged Property,Lot #55,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-04474,0902,04/05/17 2020-04/06/17 0900,Theft,Ceaser Rodney Dining Hall,Pending
17-04496,1620,04/05/17 1815-04/06/17 1500,Theft,Center for Fine Arts Garage,Pending
17-04506,1803,04/06/17 1803,MV Acident,Lot #2,Pending
17-04520,2253,04/06/17 2253,DUI,E Delaware Ave,Arrest
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-04530,0216,04/07/17 0216,Underage Consumption,Russell D,Administrative Sanction
17-04540,0958,04/07/17 0958,Offensive Touching,Russell E,Exceptionally Clear
17-04559,1635,04/07/17 0900-1300,Theft,Spencer Lab,Pending
17-04550,1423,04/07/17 1423,Underage Possession,Russell C,Administrative Sanction
17-04565,2038,04/07/17 2038,Underage Consumptionl,Lane Hall,Arrest
17-04574,2334,04/07/17 2334,Underage Consumption,Christiana East Tower,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-04577,0010,04/08/17 0010,Receiving Stolen Property,Russell B,Pending
17-04580,0116,04/08/17 0116,Moving Traffic Violation/DUI,Bartksdale Rd/Apple Rd,Arrest
17-04586,0329,04/08/17 0329,Underage Consumption,Russell A,Administrative Sanction
Incident #,Date Reported,Time,Date/Time Occurred,Description,Location,Disposition
17-04656,04/09/2017,0128,04/09/17 0129,Moving Traffic Violation/DUI,Elkton Rd/Odaniel Ave,Arrest
17-04661,04/09/2017,0335,04/09/17 0203,Damaged Property,Trabant Garage,Pending
17-04662,04/09/2017,0346,04/09/17 0346,Damaged Property,Christiana West Tower,Arrest
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-04689,0031,04/10/17 0014-0025,Lewdness,Chrisitana Commons,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-04734,0049,04/11/17 0049,Possession of Marijuana,Delaware Ave/Academy St,Civil Assesment
17-04748,1110,04/07/17 1800-04/10/17 0930,Theft,Jastaak Burgess,Pending
17-04751,1220,04/11/14 1045-1110,Theft,Smith Hall,Pending
17-04755,1207,04/11/17 0322,Theft,George Read,Pending
17-04764,1830,04/11/17 0530,Theft,Redding Hall,Pending
17-04780,2249,04/11/17 2249,Possession of Marijuana,Thompson Hall,Civil Assessment
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-04790,0050,04/12/17 0050,Possession of Marijuana,S Main St/Delaware Ave,Civil Assessment
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-04901,1700,04/13/17 1600,Harassment,Thomas McKean Hall,Exceptionally Clear
17-04914,2006,04/05/17 1200-04/10/17 1600,Damaged Property,Gilbert Hall,Pending
17-04922,2238,04/08/17 0610,Receiving Stolen Property,Russell Hall C,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-04936,0128,04/14/17 0128,DUI,E Delaware Ave/Haines St,Arrest
17-04975,2026,04/14/17 2023,Shoplifting,Harrington POD,Pending
17-04982,2135,04/14/17 2135,Possession of Marijuana,Harrington B,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-05012,0136,04/15/17 0136,DUI,E Main St/S College Ave,Arrest
17-05015,0214,04/15/17 0158,Damaged Property,Trabant Parking Garage,Pending
17-05016,0214,04/15/17 0214,Consumption of Marijuana,Christiana West Tower,Administrative Sanction
17-05021,0334,04/15/17 0334,Underage Consumption,Russell C,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-05086,0343,04/16/17 0343,Damaged Property,George Read,Pending
17-05105,1848,04/16/17 1848,Possession w/ Intent to Deliver Controlled Substance/Controlled Substance/Controlled Substance w/o Prescription/Drug Paraphernalia,Redding Hall,Arrest
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-05119,0050,04/17/17 0050,DUI,S Main St,Arrest
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-05162,0803,04/17/17 0745-1515,MV Collision,Perkins Parking Garage,Pending
17-05170,1229,04/18/17 1057,MV Collision,Lot #20,Pending
17-05168,1142,04/14/17 0900,Harassment,Brown Lab,Exceptionally Clear
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
